"MyUnknownColumn","Mat","Inns","Balls","Runs","Wkts","BBI","Ave","Econ","SR","4","5","start","end","name","country"
660,9,9,412,379,17,"5/44",22.29,5.51,24.2,0,1,2010,2019,"J Theron","SA"
661,19,19,728,680,16,"2/26",42.5,5.6,45.5,0,0,2014,2018,"Aizaz Khan","HKG"
662,10,10,592,378,16,"4/56",23.62,3.83,37.0,1,0,1973,1979,"Asif Iqbal","PAK"
663,11,11,591,517,16,"5/44",32.31,5.24,36.9,0,1,2019,2019,"JP Behrendorff","AUS"
664,14,13,716,725,16,"3/67",45.31,6.07,44.7,0,0,2016,2016,"SM Boland","AUS"
665,17,17,731,577,16,"4/33",36.06,4.73,45.6,1,0,2006,2007,"GR Codrington","CAN"
666,13,12,546,371,16,"5/60",23.18,4.07,34.1,0,1,2016,2017,"CD de Lange","SCOT"
667,12,12,513,458,16,"4/47",28.62,5.35,32.0,2,0,2014,2018,"Ehsan Nawaz","HKG"
668,5,5,320,165,16,"6/14",10.31,3.09,20.0,0,2,1974,1975,"GJ Gilmour","AUS"
669,18,17,743,555,16,"3/22",34.68,4.48,46.4,0,0,2006,2007,"PJC Hoffmann","SCOT"
670,19,14,635,505,16,"5/26",31.56,4.77,39.6,0,1,1984,1990,"SHU Karnain","SL"
671,10,10,526,404,16,"3/40",25.25,4.6,32.8,0,0,1990,1994,"DE Malcolm","ENG"
672,113,38,920,778,16,"2/25",48.62,5.07,57.5,0,0,2002,2015,"S Matsikenyeri","ZIM"
673,15,15,727,681,16,"4/51",42.56,5.62,45.4,1,0,2011,2015,"JL Pattinson","AUS"
674,22,21,1110,763,16,"3/27",47.68,4.12,69.3,0,0,1982,1984,"BS Sandhu","INDIA"
675,181,25,581,586,16,"3/31",36.62,6.05,36.3,0,0,2000,2013,"RR Sarwan","WI"
676,13,12,543,520,16,"4/40",32.5,5.74,33.9,1,0,2013,2016,"MC Sorensen","IRE"
677,10,10,463,410,16,"4/50",25.62,5.31,28.9,1,0,2015,2016,"RJW Topley","ENG"
678,11,11,537,412,16,"4/46",25.75,4.6,33.5,1,0,2007,2009,"RJ Trott","BMUDA"
679,86,28,796,649,16,"4/22",40.56,4.89,49.7,1,0,2001,2007,"MP Vaughan","ENG"
680,10,9,372,307,16,"3/34",19.18,4.95,23.2,0,0,1999,2002,"R Vijay Bharadwaj","INDIA"
681,17,16,646,494,16,"4/19",30.87,4.58,40.3,1,0,1984,1990,"Zakir Khan","PAK"
682,9,9,484,509,15,"4/19",33.93,6.3,32.2,2,0,2019,2019,"MR Adair","IRE"
683,11,11,480,465,15,"3/13",31.0,5.81,32.0,0,0,2018,2019,"KK Ahmed","INDIA"
684,13,13,819,552,15,"3/41",36.8,4.04,54.6,0,0,1982,1985,"PJW Allott","ENG"
685,15,15,732,560,15,"4/27",37.33,4.59,48.8,1,0,2014,2019,"CJA Amini","PNG"
686,15,14,719,586,15,"4/22",39.06,4.89,47.9,1,0,1983,1985,"Azeem Hafeez","PAK"
687,14,13,700,513,15,"3/28",34.2,4.39,46.6,0,0,1978,1987,"SL Boock","NZ"
688,12,12,411,392,15,"4/30",26.13,5.72,27.4,1,0,2006,2008,"DCC Borden","BMUDA"
689,18,18,854,683,15,"3/31",45.53,4.79,56.9,0,0,2001,2007,"Danish Kaneria","PAK"
690,15,14,806,412,15,"2/21",27.46,3.06,53.7,0,0,1974,1980,"G Dymock","AUS"
