"MyUnknownColumn","Mat","Inns","Balls","Runs","Wkts","BBI","Ave","Econ","SR","4","5","start","end","name","country"
624,20,19,852,601,19,"3/20",31.63,4.23,44.8,0,0,2014,2018,"Tanwir Afzal","HKG"
625,27,26,1524,987,19,"3/35",51.94,3.88,80.2,0,0,1983,1993,"AJ Traicos","ZIM"
626,20,20,1020,699,19,"4/22",36.78,4.11,53.6,1,0,1990,1997,"PCR Tufnell","ENG"
627,22,22,927,944,18,"3/66",52.44,6.11,51.5,0,0,2013,2016,"Anwar Ali","PAK"
628,12,12,613,404,18,"3/17",22.44,3.95,34.0,0,0,1989,1990,"GD Campbell","AUS"
629,15,15,859,479,18,"5/23",26.61,3.34,47.7,0,1,1973,1978,"RO Collinge","NZ"
630,18,18,954,675,18,"3/58",37.5,4.24,53.0,0,0,2014,2018,"MD Dai","PNG"
631,14,14,684,552,18,"5/46",30.66,4.84,38.0,0,1,1986,1986,"DR Gilbert","AUS"
632,69,39,802,698,18,"4/21",38.77,5.22,44.5,2,0,2008,2013,"DJ Hussey","AUS"
633,12,12,778,463,18,"4/20",25.72,3.57,43.2,2,0,1973,1977,"BD Julien","WI"
634,25,19,588,518,18,"3/33",28.77,5.28,32.6,0,0,1991,1996,"AP Kuiper","SA"
635,13,13,716,500,18,"4/36",27.77,4.18,39.7,1,0,2005,2007,"J Lewis","ENG"
636,20,19,948,804,18,"3/62",44.66,5.08,52.6,0,0,2001,2008,"CS Martin","NZ"
637,177,40,697,661,18,"3/26",36.72,5.69,38.7,0,0,2001,2013,"Mohammad Ashraful","BDESH"
638,18,18,786,733,18,"4/47",40.72,5.59,43.6,1,0,2018,2018,"B Muzarabani","ZIM"
639,24,24,1189,998,18,"4/32",55.44,5.03,66.0,1,0,2000,2002,"MV Nagamootoo","WI"
640,28,25,1077,812,18,"3/33",45.11,4.52,59.8,0,0,1983,1996,"AH Omarshah","ZIM"
641,14,14,679,658,18,"3/40",36.55,5.81,37.7,0,0,2012,2016,"Rahat Ali","PAK"
642,15,15,696,569,18,"3/24",31.61,4.9,38.6,0,0,2006,2007,"KT Sandher","CAN"
643,197,43,1026,951,18,"3/30",52.83,5.56,57.0,0,0,2002,2013,"GC Smith","SA"
644,11,11,522,468,18,"4/28",26.0,5.37,29.0,2,0,2016,2018,"CB Sole","SCOT"
645,15,15,789,658,18,"3/27",36.55,5.0,43.8,0,0,2009,2019,"RE van der Merwe","NL"
646,109,23,749,666,18,"2/16",37.0,5.33,41.6,0,0,1983,1994,"KC Wessels","AUS"
647,13,13,584,428,18,"4/24",23.77,4.39,32.4,1,0,2004,2005,"AG Wharf","ENG"
648,15,15,659,556,18,"3/16",30.88,5.06,36.6,0,0,1996,2001,"LR Williams","WI"
649,21,21,846,690,17,"4/42",40.58,4.89,49.7,1,0,2002,2011,"Adeel Raja","NL"
650,23,22,1038,805,17,"3/38",47.35,4.65,61.0,0,0,1987,1990,"DJ Capel","ENG"
651,28,28,1374,967,17,"3/38",56.88,4.22,80.8,0,0,1986,1992,"EAR de Silva","SL"
652,11,11,523,434,17,"4/45",25.52,4.97,30.7,1,0,1997,1998,"MV Fleming","ENG"
653,34,28,1006,803,17,"2/22",47.23,4.78,59.1,0,0,1997,2000,"HH Kanitkar","INDIA"
654,13,12,558,498,17,"4/57",29.29,5.35,32.8,1,0,2001,2005,"JJC Lawson","WI"
655,15,15,699,607,17,"4/42",35.7,5.21,41.1,1,0,2016,2019,"Mohammad Nawaz","PAK"
656,19,18,844,738,17,"3/42",43.41,5.24,49.6,0,0,2014,2015,"J Nyumbu","ZIM"
657,21,20,961,1031,17,"4/52",60.64,6.43,56.5,1,0,2016,2019,"PADLR Sandakan","SL"
658,11,11,588,490,17,"3/41",28.82,5.0,34.5,0,0,2010,2011,"A Shahzad","ENG"
659,20,19,901,743,17,"3/55",43.7,4.94,53.0,0,0,2009,2019,"PM Siddle","AUS"
